B3F ID,Name,Category,Description,Location,Status,Barcode,System Names,Fecha de ejecución,Fecha Entrega a Posv,Medidor de Agua,Medidor de Energía,Persona Encargada,Primera Revisión,Segunda Revisión
b0711c75-faeb-4354-892a-8180761e0700,Muro básico [745893],Control > Mampostería > Piso 1,,,No iniciado,,,07/08/2026,,,,,,
28e96baa-e7c7-4a56-b701-6fa713a499c7,Muro básico [745894],Control > Mampostería > Piso 1,,,No iniciado,,,07/08/2026,,,,,,
bf14759e-5f1d-4940-a498-fa8dcc079f51,Muro básico [745895],Control > Mampostería > Piso 1,,,No iniciado,,,07/08/2026,,,,,,
bcb6cf06-9b42-4a25-8c71-021752250ef2,Muro básico [745896],Control > Mampostería > Piso 1,,,No iniciado,,,07/08/2026,,,,,,
f0e779a2-bf87-40b7-a901-3b9bd8c1c5f9,Muro básico [745897],Control > Mampostería > Piso 1,,,No iniciado,,,07/08/2026,,,,,,
e4589f0d-e913-4683-adac-796d16c8abb4,Muro básico [745898],Control > Mampostería > Piso 1,15-02-2025,,Ejecutado,,,07/08/2026,,,,,,
ed7c9ea6-445e-46ea-b845-19c0a8d411e4,Muro básico [745899],Control > Mampostería > Piso 1,,,Ejecutado,,,07/08/2026,,,,,,
8ed70f97-894e-44cf-929c-3bb828de275a,Muro básico [745900],Control > Mampostería > Piso 1,,,Atraso,,,07/08/2026,,,,,,
ee2d65cb-cf1e-4bd2-a1d7-ada36002cc21,Muro básico [745902],Control > Mampostería > Piso 1,,,Atraso,,,07/08/2026,,,,,,
c95d4cb4-5b8b-4a6d-bf4a-f5f5b7291664,Muro básico [745903],Control > Mampostería > Piso 1,,,Atraso,,,07/08/2026,,,,,,
84597328-bf1c-4cd3-b11a-6b1dbc9fe91b,Muro básico [745904],Control > Mampostería > Piso 1,,,Atraso,,,07/08/2026,,,,,,
9c2ea5d2-2abf-4f95-9b22-de55213b8540,Muro básico [745905],Control > Mampostería > Piso 1,,,Atraso,,,07/08/2026,,,,,,
cc5173b8-b730-4349-b33a-7bde78dd57ec,Muro básico [745906],Control > Mampostería > Piso 1,,,Atraso,,,07/08/2026,,,,,,
b25d2469-cf3f-495f-8b92-41e046948c72,Muro básico [745907],Control > Mampostería > Piso 1,,,Atraso,,,07/08/2026,,,,,,
9f860ec6-07bf-43b7-aafa-178ea101ca8f,Muro básico [745908],Control > Mampostería > Piso 1,,,Atraso,,,07/08/2026,,,,,,
70fec203-fb50-4b63-ba00-d8c86bb3de9d,Muro básico [745909],Control > Mampostería > Piso 1,,,Atraso,,,07/08/2026,,,,,,
6f916bb2-dd5d-4837-a739-131450a71602,Muro básico [745910],Control > Mampostería > Piso 1,,,Atraso,,,07/08/2026,,,,,,
b3395e35-9309-4d0f-a80c-7d16a87af2a3,Muro básico [3908822],Control > Mampostería > Piso 1,,,Ejecutado,,,07/08/2026,,,,,,
9d177c91-822a-47e1-9a25-de132ff37224,Muro básico [3908823],Control > Mampostería > Piso 1,,,Ejecutado,,,07/08/2026,,,,,,
dd8f1250-77b0-47ef-a90f-01cc8662c5ca,Muro básico [3908824],Control > Mampostería > Piso 1,,,Ejecutado,,,07/08/2026,,,,,,
1f464f51-50a5-4f96-8e3b-1f5e9ed537ac,Muro básico [3908825],Control > Mampostería > Piso 1,,,Ejecutado,,,07/08/2026,,,,,,
1182f224-1f93-43f1-81fd-e93b9f02063c,Muro básico [3908826],Control > Mampostería > Piso 1,,,Ejecutado,,,07/08/2026,,,,,,
499cb9b2-f01a-40aa-9f23-21ce06697604,Muro básico [3908827],Control > Mampostería > Piso 1,15-02-2025,,Ejecutado,,,07/08/2026,,,,,,
d8547e84-1339-4dad-90f2-c0bb403eee24,Muro básico [3908828],Control > Mampostería > Piso 1,,,Ejecutado,,,07/08/2026,,,,,,
922bc5be-a9af-4d23-b2d5-28a52ae16521,Muro básico [3908829],Control > Mampostería > Piso 1,,,Ejecutado,,,07/08/2026,,,,,,
e006b647-8ec7-4e72-9afa-06cf9f2021d4,Muro básico [3908831],Control > Mampostería > Piso 1,,,Ejecutado,,,07/08/2026,,,,,,
c2ba0994-386c-4eb2-8752-79c27d60f9c6,Muro básico [3908832],Control > Mampostería > Piso 1,,,Atraso,,,07/08/2026,,,,,,
6f10a46a-4f52-4977-b87c-7a9871fccbe6,Muro básico [3908833],Control > Mampostería > Piso 1,,,Atraso,,,07/08/2026,,,,,,
0d8c30bf-dcb7-4f1b-9f91-af5a494c527e,Muro básico [3908834],Control > Mampostería > Piso 1,,,Atraso,,,07/08/2026,,,,,,
9bc4e062-15d2-418d-9b0c-8358d8c551b6,Muro básico [3908835],Control > Mampostería > Piso 1,,,Atraso,,,07/08/2026,,,,,,
10045ada-5260-4901-b036-3e50b034c78d,Muro básico [3908836],Control > Mampostería > Piso 1,,,Atraso,,,07/08/2026,,,,,,
a4c8ec37-4c79-4367-af95-af6e2c0f4e4f,Muro básico [3908837],Control > Mampostería > Piso 1,,,Atraso,,,07/08/2026,,,,,,
bb78b3e4-c4e7-47b0-b732-b3fea0924fa8,Muro básico [3908838],Control > Mampostería > Piso 1,,,Atraso,,,07/08/2026,,,,,,
d34333f3-cf29-4155-97f9-dc1d8c9cb882,Muro básico [3908839],Control > Mampostería > Piso 1,,,Atraso,,,07/08/2026,,,,,,
e0c0041a-af53-41f5-bac0-d148b5b81c8b,Muro básico [745671],Control > Mampostería > Piso 2,,,No iniciado,,,05/20/2026,,,,,,
6d33aed4-fe23-4f40-95a0-8b1e8cac7564,Muro básico [745672],Control > Mampostería > Piso 2,,,No iniciado,,,05/20/2026,,,,,,
4d3a815e-448d-4679-b106-f32e3a810ceb,Muro básico [745673],Control > Mampostería > Piso 2,,,No iniciado,,,05/20/2026,,,,,,
3d4f77e7-9638-49c6-b65a-fa38d80cef6c,Muro básico [745674],Control > Mampostería > Piso 2,,,No iniciado,,,05/20/2026,,,,,,
f3cb41ce-5907-4058-ac87-dd553d8c82b0,Muro básico [745675],Control > Mampostería > Piso 2,,,No iniciado,,,05/22/2026,,,,,,
0892b60c-5aa7-4100-9eba-069878569b06,Muro básico [745676],Control > Mampostería > Piso 2,15-02-2025,,Ejecutado,,,,,,,,,
ec56b886-2426-4083-b700-2a2b85041d67,Muro básico [745677],Control > Mampostería > Piso 2,,,Ejecutado,,,,,,,,,
322286c5-1fba-460d-9399-d06231913ae4,Muro básico [745678],Control > Mampostería > Piso 2,,,No iniciado,,,,,,,,,
746b38e0-fec6-4bcd-83b5-4b3d0e533ae0,Muro básico [745691],Control > Mampostería > Piso 2,,,No iniciado,,,,,,,,,
5f352262-f0d4-43b0-8be0-671ab94f2b7b,Muro básico [745692],Control > Mampostería > Piso 2,,,Atraso,,,,,,,,,
077e8c35-b702-4d1a-b0b9-39a208356f4a,Muro básico [745693],Control > Mampostería > Piso 2,,,Atraso,,,,,,,,,
9b0b28d3-12b1-4439-8b87-07ed18c967e6,Muro básico [745694],Control > Mampostería > Piso 2,,,Atraso,,,,,,,,,
20f00875-0ae3-4d82-8e28-d9f7a59c6579,Muro básico [745695],Control > Mampostería > Piso 2,,,En proceso,,,,,,,,,
ba191081-94ea-49d9-87e8-260b9dbd4da8,Muro básico [745696],Control > Mampostería > Piso 2,,,En proceso,,,,,,,,,
b3772494-9c48-4e24-8b76-0ea132242e4a,Muro básico [745697],Control > Mampostería > Piso 2,,,Ejecutado,,,,,,,,,
ad478a8e-7a4c-4b41-abe1-b3f81b59945f,Muro básico [745698],Control > Mampostería > Piso 2,,,Ejecutado,,,,,,,,,
11b806a0-c3b9-45ab-966a-59981ca58e81,Muro básico [745699],Control > Mampostería > Piso 2,,,No iniciado,,,,,,,,,
5fa436a2-466b-42cb-870e-32a2871384e3,Muro básico [655455],Control > Mampostería > Piso 3,,,No iniciado,,,,,,,,,
f98e19fb-05e1-4d87-9179-026bc13c3d0f,Muro básico [655597],Control > Mampostería > Piso 3,,,No iniciado,,,,,,,,,
44560b79-0a96-46bf-b2e5-82e8eee28971,Muro básico [655606],Control > Mampostería > Piso 3,,,No iniciado,,,,,,,,,
50a7636d-347f-4cba-92a5-967d7db4a2a5,Muro básico [655619],Control > Mampostería > Piso 3,,,No iniciado,,,,,,,,,
8e131d2c-fa99-4834-9f7b-9cbe1a23d8be,Muro básico [655630],Control > Mampostería > Piso 3,15-02-2025,,Ejecutado,,,,,,,,,
b919edb9-73a2-4182-a50e-00c46c48521d,Muro básico [655824],Control > Mampostería > Piso 3,,,Ejecutado,,,,,,,,,
41868fa3-39da-4375-9ea1-d348b47e75ae,Muro básico [655843],Control > Mampostería > Piso 3,,,Ejecutado,,,,,,,,,
dbc08c9b-3553-45ce-ab67-8e67a045b2ac,Muro básico [658406],Control > Mampostería > Piso 3,,,No iniciado,,,,,,,,,
d8acd237-56e8-474a-874e-107659fb6fb7,Muro básico [672347],Control > Mampostería > Piso 3,,,Atraso,,,,,,,,,
c8aa9220-5c3b-4c2d-b91f-a639ee4b729b,Muro básico [672348],Control > Mampostería > Piso 3,,,Atraso,,,,,,,,,
2e28d0ad-8e48-42dd-ad79-c97cfab70ade,Muro básico [672349],Control > Mampostería > Piso 3,,,Atraso,,,,,,,,,
da22f26a-364d-49c3-bc8f-a641c6a2000c,Muro básico [672350],Control > Mampostería > Piso 3,,,En proceso,,,,,,,,,
0426834c-7bb6-4896-b68a-64ef02e5b5ef,Muro básico [672351],Control > Mampostería > Piso 3,,,En proceso,,,,,,,,,
a84fa751-4e56-4e94-940f-2c48f9208bdb,Muro básico [672352],Control > Mampostería > Piso 3,,,Ejecutado,,,,,,,,,
9cd2b99d-e6e9-460c-a08f-bbd406262953,Muro básico [672359],Control > Mampostería > Piso 3,,,Ejecutado,,,,,,,,,
a386086d-528e-48ed-b0e2-794d1772a4fa,Muro básico [672360],Control > Mampostería > Piso 3,,,Ejecutado,,,,,,,,,
7de10890-bb1f-46d7-9687-c67672a5891d,Muro básico [676424],Control > Mampostería > Piso 3,,,Ejecutado,,,,,,,,,
d9299c16-99f0-43df-9ec5-5d7b5c569255,Muro básico [3908962],Control > Mampostería > Piso 3,,,No iniciado,,,,,,,,,
00745e9b-73a3-4615-9f9f-f6ff7f03a3bb,Muro básico [3908963],Control > Mampostería > Piso 3,,,No iniciado,,,,,,,,,
195b1e0f-793d-4097-ab66-ca65b7b19b46,Muro básico [3908964],Control > Mampostería > Piso 3,,,No iniciado,,,,,,,,,
